Date,Round,HomeTeam,AwayTeam,Possession_Home,Possession_Away,Home_duels_success_rate,Away_duels_success_rate,Home_aerials_success_rate,Away_aerials_success_rate,Home_interceptions,Away_interceptions,Home_offsides,Away_offsides,Home_corners,Away_corners,Home_passes,Away_passes,Home_long_passes,Away_long_passes,Home_passing_acc,Away_passing_acc,Home_passing_acc_opp_half,Away_passing_acc_opp_half,Home_crosses,Away_crosses,Home_crossing_acc,Away_crossing_acc,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeSOT,AwaySOT,Home_blocked_shots,Away_blocked_shots,Home_Shots_OB,Away_Shots_OB,Home_Shots_IB,Away_shots_IB,Home_shooting_acc,Away_shooting_acc,HomeTackles,AwayTackles,Home_Tackle_success_rate,Away_Tackle_success_rate,HomeClearances,AwayClearances,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds,Referee,Time
20/09/2020,4,Strasbourg,Dijon Fco,0.58,0.42,0.58,0.42,0.6,0.4,7,11,2,1,8,2,562,414,91,73,0.84,0.81,0.72,0.67,27,15,0.37,0.33,1,0,17,5,7,2,3,0,6,2,11,3,0.41,0.4,16,11,0.75,0.55,7,28,10,16,1,1,0,0,Florent Batta, 15:00
27/09/2020,5,Angers,Brest,0.52,0.48,0.45,0.55,0.37,0.63,14,16,5,1,6,1,510,471,60,84,0.81,0.77,0.68,0.7,19,12,0.32,0.58,3,2,12,14,5,6,3,2,3,2,9,12,0.42,0.43,16,29,0.81,0.66,9,19,17,21,3,2,0,0,Jérémy Stinat, 15:00
27/09/2020,5,Bordeaux,Nice,0.46,0.54,0.51,0.49,0.5,0.5,28,16,1,0,7,7,475,561,52,36,0.86,0.87,0.75,0.74,23,22,0.22,0.04,0,0,18,13,5,2,6,2,5,9,13,4,0.28,0.15,17,18,0.65,0.56,14,12,9,15,1,1,0,0,François Letexier, 13:00
27/09/2020,5,Dijon Fco,Montpellier,0.39,0.61,0.5,0.5,0.6,0.4,12,9,2,2,6,13,307,475,69,71,0.72,0.81,0.54,0.69,15,31,0.27,0.36,2,2,15,14,5,5,8,3,5,5,10,9,0.33,0.36,21,15,0.48,0.8,27,15,15,11,4,1,0,0,Aurélien Petit, 15:00
25/09/2020,5,Lille,Nantes,0.54,0.46,0.51,0.49,0.47,0.53,13,15,3,1,4,7,498,408,69,54,0.8,0.76,0.66,0.62,13,21,0.15,0.14,2,0,12,12,4,6,5,5,3,5,9,7,0.33,0.5,26,19,0.62,0.47,23,21,16,12,0,2,0,0,Willy Delajod, 21:00
27/09/2020,5,Lorient,Lyon,0.31,0.69,0.51,0.49,0.56,0.44,15,9,1,0,1,5,304,672,63,46,0.72,0.91,0.53,0.85,8,30,0.25,0.23,1,1,4,19,2,6,1,3,0,10,4,9,0.5,0.32,26,5,0.65,0.6,23,3,19,7,2,0,0,0,Clément Turpin, 17:00
26/09/2020,5,Marseille,Fc Metz,0.61,0.39,0.59,0.41,0.68,0.32,17,24,2,4,5,5,563,368,46,62,0.84,0.77,0.72,0.62,22,15,0.27,0.2,1,1,17,14,3,3,3,6,8,7,9,7,0.18,0.21,23,11,0.52,0.27,16,21,15,11,0,2,0,0,Eric Wattellier, 21:00
27/09/2020,5,Monaco,Strasbourg,0.57,0.43,0.5,0.5,0.48,0.52,9,19,3,5,6,2,527,381,67,66,0.82,0.79,0.71,0.69,16,25,0.25,0.28,3,2,11,9,5,5,3,2,5,3,6,6,0.46,0.56,18,13,0.56,0.69,19,18,11,12,1,1,2,0,Jérémie Pignard, 15:00
27/09/2020,5,Nîmes,Lens,0.5,0.5,0.5,0.5,0.44,0.56,17,13,2,1,5,7,429,422,98,73,0.72,0.75,0.59,0.64,21,21,0.24,0.24,1,1,13,15,4,5,5,4,10,7,3,8,0.31,0.33,18,12,0.28,0.67,16,22,10,16,0,3,0,0,Frank Schneider, 15:00
27/09/2020,5,Reims,Psg,0.35,0.65,0.47,0.53,0.8,0.2,18,7,1,1,3,7,370,676,38,40,0.85,0.91,0.68,0.85,14,19,0.14,0.26,0,2,8,21,3,7,1,2,4,6,4,15,0.38,0.33,11,14,0.55,0.71,17,7,11,10,2,2,0,0,Ruddy Buquet, 21:00
